nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
Ochotnicza Straż Pożarna Rybnik - Ochojec;ŚLĄSKIE;Rybnik;Rybnik;Rybnik;Rybnicka;23;50.16631895;18.540034300000002
Ochotnicza Straż Pożarna w Dzimierzu;ŚLĄSKIE;rybnicki;Lyski;Dzimierz;Sportowa;1a;50.105859;18.3507277
Nadgoplańskie Wodne Ochotnicze Pogotowie Ratunkowe;KUJAWSKO-POMORSKIE;inowrocławski;;Kruszwica;Popiela;2;52.6737043;18.3264012
Komenda Powiatowa Państwowej Straży Pożarnej w Lipnie;KUJAWSKO-POMORSKIE;lipnowski;Lipno;Lipno;Sportowa;16A;52.8513963;19.1710428
Komenda Powiatowa Państwowej Straży Pożarnej;KUJAWSKO-POMORSKIE;świecki;Świecie;Świecie;;;53.4072518;18.4455253
Ochotnicza Straż Pożarna Bukowiec;KUJAWSKO-POMORSKIE;świecki;Bukowiec;Bukowiec;Dworcowa;7;53.43250105;18.240510377550244
Ochotnicza Straż Pożarna Przysiersk;KUJAWSKO-POMORSKIE;świecki;Bukowiec;Przysiersk;Świętego Floriana;4;53.4307065;18.3035413
Ochotnicza Straż Pożarna Górna Grupa;KUJAWSKO-POMORSKIE;świecki;Dragacz;Górna Grupa;Świecka;16;53.4834301;18.6656157
Ochotnicza Straż Pożarna Drzycim;KUJAWSKO-POMORSKIE;świecki;Drzycim;Drzycim;Młyńska;10;53.5131757;18.3187684
Ochotnicza Straż Pożarna Jeżewo;KUJAWSKO-POMORSKIE;świecki;Jeżewo;Jeżewo;Główna;2;53.5092592;18.4942123
Ochotnicza Straż Pożarna Lniano;KUJAWSKO-POMORSKIE;świecki;Lniano;Lniano;Długa;1;53.5280839;18.21790010170154
Ochotnicza Straż Pożarna Nowe;KUJAWSKO-POMORSKIE;świecki;Nowe;Nowe;3 Maja;5;57.5955288;24.5154803
Ochotnicza Straż Pożarna Osie;KUJAWSKO-POMORSKIE;świecki;Osie;Osie;Rynek;2:00 AM;53.5982899;18.3467702
Ochotnicza Straż Pożarna Brzeźno;KUJAWSKO-POMORSKIE;świecki;Pruszcz;Brzeźno;;18A;54.4048419;18.6310398
Ochotnicza Straż Pożarna Pruszcz;KUJAWSKO-POMORSKIE;świecki;Pruszcz;Pruszcz;Sportowa;10;53.3306972;18.2002346
Ochotnicza Straż Pożarna Wałdowo;KUJAWSKO-POMORSKIE;świecki;Pruszcz;Wałdowo;;35;53.7204259;19.9399143
Ochotnicza Straż Pożarna Przechowo;KUJAWSKO-POMORSKIE;świecki;;Świecie;Sportowa;16;53.4048558;18.4052292
