Lp;Nazwa jednostki;Regon;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Teren dzia?ania;Telefon kontaktowy;Adres email do korespondencji;Okres dzia?ania od;Okres dzia?ania do;Liczebno?? jednostki;Okres pozostawania w gotowo?ci w ci?gu roku od 1;Okres pozostawania w gotowo?ci w ci?gu roku do 1;Czas pozostawania w gotowo?ci w ci?gu doby (w godzinach) 1;Czas osi?gni?cia gotowo?ci (w minutach) 1;Liczebno?? jednostki 1;Rodzaj jednostki;Rodzaj ratownictwa
1;Ochotnicza Stra? Po?arna Rybnik - Ochojec;277525305;PL;?L?SKIE;Rybnik;Rybnik;Rybnik;44-207;ul. Rybnicka;23;;PL;?L?SKIE;Rybnik;Rybnik;Rybnik;44-207;ul. Rybnicka;23;;?L?SKIE/Rybnik/Rybnik (gmina miejska);781331668;ospochojec@gmail.com;;;35;;;;;;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo ekologiczne 
2;Ochotnicza Stra? Po?arna w Dzimierzu;273862595;PL;?L?SKIE;rybnicki;Lyski;Dzimierz;44-295;ul. Sportowa;1a;;PL;?L?SKIE;rybnicki;Lyski;Dzimierz;44-295;ul. Sportowa;1a;;?L?SKIE/rybnicki/Lyski (gmina wiejska);692195174;dumny21@wp.pl;;;;;;;;;Ochotnicza Stra? Po?arna;Ratownictwo podczas po?arów 
3;Nadgopla?skie Wodne Ochotnicze Pogotowie Ratunkowe;341337391;PL;KUJAWSKO-POMORSKIE;inowroc?awski;;Kruszwica;88-150;ul. Popiela;2;;PL;KUJAWSKO-POMORSKIE;inowroc?awski;Kruszwica;Kruszwica;88-150;ul. Popiela;2;;KUJAWSKO-POMORSKIE/radziejowski/Wszystkie, KUJAWSKO-POMORSKIE/inowroc?awski/Wszystkie, KUJAWSKO-POMORSKIE/mogile?ski/Wszystkie;607638309;maciejbanachowski@wp.pl;01.01.2017;31.12.2017;1;1 stycze?;31 grudzie?;24;15/24;1;Podmioty uprawnione do wykonywania ratownictwa wodnego;Kwalifikowana pierwsza pomoc , Ratownictwo wodne , Ratownictwo poszukiwawcze 
4;Komenda Powiatowa Pa?stwowej Stra?y Po?arnej w Lipnie;1275058;PL;KUJAWSKO-POMORSKIE;lipnowski;Lipno;Lipno;87-600;ul. Sportowa;16A;;PL;KUJAWSKO-POMORSKIE;lipnowski;Lipno;Lipno;87-600;ul. Sportowa;16A;;Wszystkie;54 288 65 60;lipno@kujawy.psp.gov.pl;;;54;;;;;;Pa?stwowa Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
5;Komenda Powiatowa Pa?stwowej Stra?y Po?arnej;92365566;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiecie;?wiecie;86-100;;;;PL;KUJAWSKO-POMORSKIE;?wiecki;?wiecie;?wiecie;86-100;;;;KUJAWSKO-POMORSKIE/?wiecki/Wszystkie;52 33 11 444;swiecie@kujawy.psp.gov.pl;01.01.2017;31.12.2017;62;;;;;;Pa?stwowa Stra? Po?arna;Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
6;Ochotnicza Stra? Po?arna Bukowiec;91584510;PL;KUJAWSKO-POMORSKIE;?wiecki;Bukowiec;Bukowiec;86-122;ul. Dworcowa;7;;PL;KUJAWSKO-POMORSKIE;?wiecki;Bukowiec;Bukowiec;86-122;ul. Dworcowa;7;;KUJAWSKO-POMORSKIE/?wiecki/Bukowiec (gmina wiejska);52 33 09 310 ;administracja@bukowiec.pl;01.01.2017;31.12.2017;18;1 stycze?;31 grudzie?;24;maj.24;24;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
7;Ochotnicza Stra? Po?arna Przysiersk;91588040;PL;KUJAWSKO-POMORSKIE;?wiecki;Bukowiec;Przysiersk;86-122;ul. ?wi?tego Floriana;4;;PL;KUJAWSKO-POMORSKIE;?wiecki;Bukowiec;Przysiersk;86-122;ul. ?wi?tego Floriana;4;;KUJAWSKO-POMORSKIE/?wiecki/Bukowiec (gmina wiejska);523 309 310;administracja@bukowiec.pl;01.01.2017;31.12.2017;24;1 stycze?;31 grudzie?;24;maj.24;24;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
8;Ochotnicza Stra? Po?arna Górna Grupa;91584467;PL;KUJAWSKO-POMORSKIE;?wiecki;Dragacz;Górna Grupa;86-134;ul. ?wiecka;16;;PL;KUJAWSKO-POMORSKIE;?wiecki;Dragacz;Górna Grupa;86-134;ul. ?wiecka;16;;KUJAWSKO-POMORSKIE/?wiecki/Dragacz (gmina wiejska);52 33 249 69;ugdragacz@poczta.onet.pl;01.01.2017;31.12.2017;16;1 stycze?;31 grudzie?;24;maj.24;22;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
9;Ochotnicza Stra? Po?arna Drzycim;93034430;PL;KUJAWSKO-POMORSKIE;?wiecki;Drzycim;Drzycim;86-140;ul. M?y?ska;10;;PL;KUJAWSKO-POMORSKIE;?wiecki;Drzycim;Drzycim;86-140;ul. M?y?ska;10;;KUJAWSKO-POMORSKIE/?wiecki/Drzycim (gmina wiejska);52-3317079;ug@drzycim.pl;01.01.2017;31.12.2017;26;1 stycze?;31 grudzie?;24;maj.24;25;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
10;Ochotnicza Stra? Po?arna Je?ewo;340538101;PL;KUJAWSKO-POMORSKIE;?wiecki;Je?ewo;Je?ewo;86-131;ul. G?ówna;2;;PL;KUJAWSKO-POMORSKIE;?wiecki;Je?ewo;Je?ewo;86-131;ul. G?ówna;2;;KUJAWSKO-POMORSKIE/?wiecki/Je?ewo (gmina wiejska);52 331 80 25;ugjezewo@ug-jezewo.lo.pl;01.01.2017;31.12.2017;15;1 stycze?;31 grudzie?;24;maj.24;16;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
11;Ochotnicza Stra? Po?arna Lniano;91598877;PL;KUJAWSKO-POMORSKIE;?wiecki;Lniano;Lniano;86-141;ul. D?uga;1;;PL;KUJAWSKO-POMORSKIE;?wiecki;Lniano;Lniano;86-141;ul. D?uga;1;;KUJAWSKO-POMORSKIE/?wiecki/Lniano (gmina wiejska);52 332 32 03;sekretariat@lniano.pl;01.01.2017;31.12.2017;16;1 stycze?;31 grudzie?;24;maj.24;22;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne 
12;Ochotnicza Stra? Po?arna Nowe;93031643;PL;KUJAWSKO-POMORSKIE;?wiecki;Nowe;Nowe;86-170;al. 3 Maja;5;;PL;KUJAWSKO-POMORSKIE;?wiecki;Nowe;Nowe;86-170;al. 3 Maja;5;;KUJAWSKO-POMORSKIE/?wiecki/Nowe (miasto);52 333 72 10;nowe@gminanowe.pl;01.01.2017;31.12.2017;24;1 stycze?;31 grudzie?;24;maj.24;26;Inny podmiot;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
